feature,mean_importance
110_RandomForest_prediction,-0.004943961340928127
103_LightGBM_prediction,-0.004909267289730157
58_NeuralNetwork_prediction,-0.003920271341630222
33_CatBoost_prediction,-0.003497526392862815
sulphates,-0.003076393621621487
24_LightGBM_KMeansFeatures_prediction,-0.0030689012358047774
92_ExtraTrees_prediction,-0.0030020036483817125
62_NeuralNetwork_prediction,-0.0026639712594600075
98_NeuralNetwork_prediction,-0.002658673257769939
73_LightGBM_prediction,-0.0026378161705281956
111_RandomForest_prediction,-0.002532872268259656
109_CatBoost_prediction,-0.0025274612775610496
79_CatBoost_prediction,-0.0024595797020331434
Dist_Cluster_27,-0.0024256753918414976
26_LightGBM_prediction,-0.002350096842363214
100_NeuralNetwork_prediction,-0.0022540590199168985
119_ExtraTrees_prediction,-0.0020851362107005555
4_Linear_prediction,-0.00201542134848236
94_ExtraTrees_prediction,-0.001917865043664324
80_Xgboost_prediction,-0.0016482696619172898
49_ExtraTrees_prediction,-0.00141488332320151
82_CatBoost_prediction,-0.0014089841801704806
residual_sugar,-0.0012900968945303791
Dist_Cluster_25,-0.0012610931387638691
chlorides,-0.0011978097235204154
32_CatBoost_prediction,-0.0011122116765020285
117_ExtraTrees_prediction,-0.0008273833516744822
107_Xgboost_prediction,-0.0007286567065541538
volatile_acidity,-0.0007246932211299794
Dist_Cluster_9,-0.0006953568834830337
Dist_Cluster_6,-0.000693849827860693
121_ExtraTrees_prediction,-0.0006640914073738347
Dist_Cluster_14,-0.0006431340861584256
61_NeuralNetwork_prediction,-0.0006250182423761297
88_RandomForest_prediction,-0.0005822670591830503
Dist_Cluster_24,-0.0005814510597825562
95_ExtraTrees_prediction,-0.0005707082657944284
Dist_Cluster_7,-0.0005672629450473532
Dist_Cluster_3,-0.0005291062982926698
106_CatBoost_prediction,-0.0005219305915175387
126_DecisionTree_prediction,-0.0004986625326818817
Dist_Cluster_12,-0.00047089785529205177
Dist_Cluster_10,-0.00043711248264531876
70_NearestNeighbors_prediction,-0.00041005417013697534
Dist_Cluster_4,-0.00040173093862034827
101_NeuralNetwork_prediction,-0.0004006563339853164
Dist_Cluster_20,-0.0003911038900254904
125_DecisionTree_prediction,-0.00039030708091721824
116_ExtraTrees_prediction,-0.000370207155007618
8_Default_NeuralNetwork_prediction,-0.0003568787617663216
102_DecisionTree_prediction,-0.0002798104795208367
Dist_Cluster_5,-0.0002581441870405321
72_NearestNeighbors_prediction,-0.0002493232581924021
60_NeuralNetwork_prediction,-0.0002202984865278479
Dist_Cluster_1,-0.00021648874594278888
77_LightGBM_prediction,-0.00021315407574784562
71_NearestNeighbors_prediction,-0.00014233338950385698
Dist_Cluster_21,-0.00013412887786221628
Dist_Cluster_11,-0.0001210054647962533
66_NearestNeighbors_prediction,-7.786579960390449e-05
69_NearestNeighbors_prediction,-4.09351796127333e-05
Dist_Cluster_8,-1.6592896879807915e-05
citric_acid,-1.5102128615418487e-05
3_DecisionTree_prediction,-1.2245257779319729e-06
37_CatBoost_prediction,1.7002204748972626e-05
Dist_Cluster_23,1.7498649651670473e-05
2_DecisionTree_prediction,2.8650742621605386e-05
18_Xgboost_prediction,0.00013279760437283626
Dist_Cluster_16,0.00016201492398258964
Dist_Cluster_13,0.0002359945594451962
40_RandomForest_prediction,0.0003987580992536599
free_sulfur_dioxide,0.0004328636485980253
78_CatBoost_prediction,0.0004589650687647939
67_NearestNeighbors_prediction,0.0004627697119107488
Dist_Cluster_2,0.0004727140138578556
89_RandomForest_prediction,0.0004754064885805542
129_NearestNeighbors_prediction,0.0005240316376539988
1_DecisionTree_prediction,0.0005337098622727465
104_LightGBM_prediction,0.0005611589158643016
22_LightGBM_KMeansFeatures_prediction,0.0005839148644951275
128_NearestNeighbors_prediction,0.0006016072661879978
127_DecisionTree_prediction,0.0006438832686215922
26_LightGBM_KMeansFeatures_prediction,0.0007344237510579666
Dist_Cluster_0,0.0007386985276955582
115_RandomForest_prediction,0.0007616027582103002
pH,0.0007665734515577616
Dist_Cluster_18,0.000788638453102064
Dist_Cluster_22,0.0007893737587227556
118_ExtraTrees_prediction,0.0008823653987796942
Dist_Cluster_17,0.0008963696453115677
11_Default_NearestNeighbors_prediction,0.0009249139255731231
20_Xgboost_prediction,0.0009349877764916803
Cluster,0.0009535049373308846
123_NeuralNetwork_prediction,0.0009857280125776468
Dist_Cluster_15,0.0009961988347204742
87_RandomForest_prediction,0.0010258030757253733
113_RandomForest_prediction,0.0010292499820686919
fixed_acidity,0.0010630760536453066
114_RandomForest_prediction,0.001139258948902655
83_Xgboost_prediction,0.001187770915703379
alcohol,0.0012290044104575127
Dist_Cluster_19,0.0015086177495218568
120_ExtraTrees_prediction,0.001567493006282339
Dist_Cluster_26,0.001761479872144056
112_RandomForest_prediction,0.0018356526562834264
31_CatBoost_prediction,0.0019259415007282122
Dist_Cluster_28,0.001964716808921263
13_Xgboost_prediction,0.002397083083508289
81_Xgboost_prediction,0.00241167451549158
68_NearestNeighbors_prediction,0.0025461099551662538
108_CatBoost_prediction,0.002702702267034707
124_NeuralNetwork_prediction,0.002732708982908505
12_Xgboost_prediction,0.0032042183465112893
84_Xgboost_prediction,0.003798616334115057
85_Xgboost_prediction,0.004720807327231391
105_LightGBM_prediction,0.008343010694550335
22_LightGBM_prediction,0.009195386476668233
